ZTF19aatgznl 0.067000 Ia
58663.199456 2 20.1695 0.199738
58660.2241204 2 20.0541 0.152146
58657.2675116 2 19.9591 0.20971
58647.240162 2 19.2904 0.136236
58644.2646644 2 19.2212 0.110671
58641.2810764 2 18.9922 0.076544
58638.2184838 2 19.0157 0.0841762
58632.2685648 2 18.8213 0.0937803
58628.2985764 2 18.6686 0.0623702
58619.3220718 2 18.2791 0.103588
58616.1717014 2 18.3308 0.0786047
58612.2432523 2 18.448 0.0784366
58606.2787153 2 19.3381 0.0889924
