ZTF19aadyijk 0.065000 Ia
58567.3590625 2 20.1709 0.212476
58559.2728356 2 19.7589 0.19073
58558.2415509 2 19.8463 0.273102
58543.3590278 2 19.1274 0.100886
58540.305706 2 18.958 0.102032
58538.4604398 2 18.6786 0.213953
58526.4831366 2 18.427 0.120566
58522.5255903 2 18.2788 0.0518413
58513.4580324 2 18.1955 0.142148
58513.4580324 2 18.1955 0.142148
58509.4995602 2 18.5462 0.0948228
58505.5409028 2 19.2781 0.20722
