ZTF19acaqqke 0.026000 II
58846.4166319 2 19.9283 0.206801
58828.4342593 2 19.785 0.221169
58827.4504861 2 19.9034 0.301103
58798.534537 2 19.6126 0.19172
58794.5317361 2 19.7497 0.189537
58791.5163194 2 19.7573 0.196489
58788.5293287 2 19.2982 0.121385
58787.5290394 2 19.5344 0.305624
58784.5282523 2 19.2018 0.224136
58781.5243171 2 18.9545 0.200653
58781.5238657 2 18.8799 0.20364
58770.4959722 2 18.6539 0.165975
58770.4955208 2 18.7338 0.141594
58764.4948611 2 18.5883 0.0992977
58761.5048032 2 18.6947 0.105467
58758.5263194 2 18.5371 0.106
