ZTF20aabqisb 0.051300 Ia
58881.5165856 1 19.9868 0.183596
58881.5156366 1 20.3129 0.202951
58880.4870949 1 20.0354 0.182639
58880.4847685 1 20.4416 0.259658
58879.5119792 1 20.2958 0.367877
58879.4890278 1 20.1404 0.280837
58878.5353356 1 19.9493 0.279024
58878.5339583 1 19.8924 0.220443
58877.5407523 1 19.8251 0.180586
58876.5307523 1 19.8653 0.161725
58876.5307523 1 19.8686 0.158932
58876.5165394 1 19.7761 0.184967
58876.5165394 1 19.7783 0.185014
58875.487419 1 19.8414 0.217318
58875.4711574 1 19.7557 0.197716
58873.5537731 1 19.6579 0.155867
58872.4531019 1 19.0998 0.217209
58871.4464468 1 19.5924 0.197928
58866.5762963 1 19.1001 0.123817
58866.5744097 1 19.1603 0.151899
58864.4675926 1 18.9426 0.132114
58861.4871644 1 18.9169 0.269775
58855.5003935 1 19.1133 0.130328
58854.5515162 1 19.3792 0.273205
58853.531794 1 19.135 0.127769
58852.53 1 19.191 0.0959053
58851.5547222 1 19.3141 0.151928
58851.5267477 1 19.2331 0.195857
58850.5537847 1 19.4275 0.155421
58850.5375579 1 19.5491 0.168318
