ZTF19abtcapa 0.070000 Ia
58882.1306829 2 19.6937 0.187228
58861.1560532 2 19.3781 0.146433
58860.1544329 2 19.1702 0.121346
58859.2163079 2 19.0628 0.1402
58859.1753241 2 19.1777 0.116823
58855.2065394 2 18.9853 0.119709
58852.1658449 2 18.828 0.136675
58849.1488426 2 18.9525 0.11197
58846.1276852 2 18.949 0.116351
58836.0959491 2 18.3464 0.0884506
58833.2912963 2 18.3038 0.0804233
58833.1043634 2 18.2622 0.0700563
58831.1000926 2 18.3215 0.0885223
58830.2329051 2 18.2253 0.0683839
58828.1900579 2 18.2055 0.133793
58819.1510764 2 19.1215 0.12452
58819.1453009 2 17.9852 0.193125
58721.4578009 2 18.0416 0.182257
