ZTF19aazzpje 0.090000 Ia
58684.1873495 2 20.0655 0.18786
58681.248125 2 19.7825 0.225942
58675.242963 2 19.4653 0.167193
58672.2134259 2 19.5174 0.133587
58669.1809838 2 19.3947 0.142759
58666.2580324 2 19.1729 0.104059
58663.3048148 2 19.0276 0.0950801
58660.2318981 2 18.7957 0.0847605
58657.2548727 2 18.8901 0.100014
58653.2072454 2 19.1401 0.157857
