ZTF20aalejtl 0.062900 Ia
58915.1950694 1 19.4203 0.205841
58912.1655093 1 19.2634 0.141727
58906.2612731 1 18.8279 0.105084
58904.1582523 1 18.6028 0.0895648
58903.2433912 1 18.511 0.0657768
58900.2989815 1 18.3428 0.0958586
58898.269456 1 18.2295 0.064388
58895.169375 1 18.0975 0.0541664
58890.3063426 1 18.1828 0.0871244
58881.1944907 1 19.7073 0.225328
