ZTF19aapuohr 0.040000 Ia
58643.2371296 2 19.5994 0.198967
58640.2114699 2 19.349 0.119806
58637.1845486 2 19.2905 0.0985647
58634.2537153 2 19.1093 0.122747
58617.2502778 2 18.5486 0.109503
58607.2307176 2 18.0763 0.0615229
58593.2502199 2 17.8049 0.0757902
58588.3375463 2 17.988 0.221562
58584.2951505 2 18.9261 0.0923808
