ZTF19abejaiy 0.017042 II
58716.144838 2 19.0993 0.156753
58690.1731134 2 19.2122 0.157492
58682.2362037 2 19.0203 0.119759
58681.2424653 2 19.143 0.219341
58679.1926157 2 19.2082 0.198127
58678.207662 2 19.0862 0.192148
58676.208588 2 19.0137 0.146715
58675.2354861 2 19.4535 0.269443
58672.1952199 2 19.4491 0.148121
58671.2046181 2 19.5672 0.155313
